OTU,S110_L001,S111_L001,S112_L001,S113_L001,S114_L001,S115_L001,S116_L001,S117_L001,S118_L001,S119_L001,S120_L001,S121_L001,S122_L001
704e39cac6fbd92693c437d742200f8039dcc84c,0,0,1,2,1,10,5,7,2,2,4,3,1
7460ee6e744015a37fd722f4c5abe7092ebe6eb3,1,0,3,8,0,3,5,8,2,3,1,3,1
7a79534597328ec6e1ffa20ea698cced394f691d,0,0,3,0,1,14,4,5,0,7,0,0,4
83cf78eb2cab5ed373d0ae5d4b569b1395b45d74,0,0,2,7,0,10,5,8,1,3,0,1,1
847a600b94a24bb268a2094fe4ab286613ddbaa6,0,0,1,3,0,10,3,11,0,9,1,0,0
945375f41642841ecfe8ce44b1c2b9eb422b6157,0,0,3,2,2,12,1,9,1,4,1,3,0
b372cc44f9baf496ec88b4bb8b969ecc5430498d,0,0,4,9,0,12,4,2,3,1,1,1,1
c07e2e1154ca53651be319a4315480e322fe9ed8,0,0,4,4,1,7,5,5,3,3,2,0,4
d7da99deef7da7d8f11c225cb695df8dc2b99c22,0,0,7,2,3,10,3,6,2,0,4,1,0
d80d10830ec248555281e4232c87a34ee1deb531,0,0,1,1,3,15,3,3,2,6,0,3,1
e670e3ebc5326b73c664a88bea83dd88eccf1fde,0,0,0,2,0,9,8,9,0,6,0,1,3
fd7c9e8cf1fed33d1f75d6da6c026c7ed2ea03ec,0,0,1,4,0,8,7,7,5,0,2,3,1
03cb840073ca576e453249c9ed307a67a8b904c1,0,0,1,2,2,4,2,3,6,9,0,3,5
0995a864b110706963df3b66a68da61c625f3070,0,0,0,4,1,5,9,0,2,2,1,5,8
0efad3a1a2b3b4218f4b5aef5aec5d7daf2e6bd7,0,0,2,3,3,7,9,8,1,0,0,3,1
2e539de2129688da2c55b4267ed8858cdf1914bb,0,0,0,5,0,8,8,7,4,1,0,4,0
34a9c513cf8fe42782392766b41c49e454a1eecf,0,0,2,2,0,10,6,10,0,3,0,2,2
4404bb355ae9ab86ccc57e3a0616e5031fbfdd15,2,0,4,6,0,11,3,4,2,2,1,0,2
47bd37e419d955a303c87acf7e5e499a68a95d10,1,0,0,2,0,12,6,5,1,1,1,7,1
