OTU,NEF_NEBEDIV_CSG61_2025,NEF_NEBEDIV_CSG62_2025,NEF_NEBEDIV_CSG63_2025,NEF_NEBEDIV_CSG64_2025,NEF_NEBEDIV_CSG65_2025,NEF_NEBEDIV_CSG66_2025,NEF_NEBEDIV_LAU1_2025,NEF_NEBEDIV_LAU3_2025,NEF_NEBEDIV_LAU4_2025,NEF_NEBEDIV_LAU6_2025,NEF_NEBEDIV_LAU7_2025,NEF_NEBEDIV_LAU8_2025,NEF_NEBEDIV_NR31_2025,NEF_NEBEDIV_NR32_2025,NEF_NEBEDIV_NR34_2025,NEF_NEBEDIV_NR35_2025,NEF_NEBEDIV_NR37_2025,NEF_NEBEDIV_NR38_2025,NEF_NEBEDIV_NR39_2025,NEF_NEBEDIV_RG11_2025,NEF_NEBEDIV_RG14_2025,NEF_NEBEDIV_RG15_2025,NEF_NEBEDIV_RG16_2025,NEF_NEBEDIV_RG17_2025,NEF_NEBEDIV_RG18_2025,NEF_NEBEDIV_TRI41_2025,NEF_NEBEDIV_TRI42_2025,NEF_NEBEDIV_TRI43_2025,NEF_NEBEDIV_TRI45_2025,NEF_NEBEDIV_TRI48_2025
OTU_03512,206,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,1,0,2,0,0,0,0,0,0,0
OTU_03513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0
OTU_03514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU_03517,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,5,0,1,0,0,66,14,0,0,0,0,0
OTU_03518,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU_03522,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,12,0,0,0,0,0,0
OTU_03523,26,0,0,0,2,0,2,0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,2,0,0
OTU_03524,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_03525,15,11,1,60,60,24,5,7,9,19,0,4,49,42,6,26,23,4,24,6,56,483,82,18,34,2,1,1,5,0
OTU_03526,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU_03528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
OTU_03529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
OTU_03532,0,0,4,0,1,0,0,31,3,0,0,0,11,0,2,0,1,1,4,0,6,15,0,0,0,0,0,0,0,0
OTU_03534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU_03536,0,0,0,10,1,0,4,4,2,0,0,0,0,0,0,0,1,0,1,0,11,19,6,2,13,0,87,9,0,0
OTU_03537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03538,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,11,0,1,0,0,0,0,0,0
OTU_03539,0,1,11,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,60,0,0,0,0,0
OTU_03540,7,0,1,3,1,0,0,0,0,2,0,0,3,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0
OTU_03542,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03543,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
OTU_03544,0,7,1,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0
OTU_03545,0,0,0,47,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,20,6,0,1,0,0,0,0,0
OTU_03546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03547,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,2,0,0,0,0,0
OTU_03548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03549,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
OTU_03551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,2,0,0
OTU_03552,1,0,0,1,2,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,1,4,3,1,3,0,2,0,0,0
OTU_03553,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
OTU_03554,13,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,1,0,0,0,0,0,2,0
OTU_03556,13,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,133,0,167,0,0,0,0,0
OTU_03557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
OTU_03558,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0
OTU_03561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU_03563,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
OTU_03564,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
